time [s],long accel [g],lat accel [g],vector accel [g],vert accel [g],speed [mph],distance [ft],gear [-],position X [m],position Y [m],TPS [%],Steering Position [Deg],Oil Press [PSI],Brake [V],GPS altitude [m],GPS time [s],GPS alt acc [-],GPS vel raw [mph],GPS long [degs],GPS lat [degs]
52.49,-0.115966678,-1.76E-02,0.137257814,1.016840696,0.429726392,229.7200165,1,44.23508835,-22.90398407,-2.134832144,-8.360635757,21.48750305,13.70500088,85.67500305,63601.921,3.681999922,0.380279183,-117.7296275,33.66645245
52.5,-0.115098849,-0.017814863,0.142424762,1.016815186,0.456925303,229.726532,1,44.23601532,-22.90509796,-2.134832144,-7.70490694,21.37500381,13.61600113,85.67500305,63601.931,3.681999922,0.380279183,-117.7296274,33.66645244
52.51,-0.114343844,-0.018037025,0.140037999,1.016873479,0.419856101,229.7329559,1,44.23694229,-22.90621185,-2.202247143,-7.70490694,21.37500381,13.73200035,85.67500305,63601.941,3.681999922,0.380279183,-117.7296274,33.66645243
52.52,-0.113718405,-1.82E-02,0.137253717,1.017015576,0.415349394,229.73909,1,44.23786926,-22.90732574,-2.134832144,-7.70490694,21.37500381,13.71500111,85.67500305,63601.951,3.681999922,0.380279183,-117.7296274,33.66645242
52.53,-0.113235749,-1.84E-02,0.139829308,1.017239332,0.433122307,229.7453003,1,44.23879623,-22.90843773,-2.134832144,-7.70490694,21.37500381,13.65400124,85.67500305,63601.961,3.681999922,0.380279183,-117.7296274,33.66645241
52.54,-0.112905197,-0.018573934,0.135936439,1.017540097,0.407192886,229.7514801,1,44.23972321,-22.90955162,-2.202247143,-7.70490694,21.37500381,13.76000118,85.68299866,63601.971,3.681999922,0.380279183,-117.7296274,33.6664524
52.55,-0.112731859,-1.87E-02,0.135041073,1.017911077,0.417253643,229.7575226,1,44.23972321,-22.90853882,-2.202247143,-7.70490694,21.37500381,13.7840004,85.68299866,63601.981,3.681999922,0.380279183,-117.7296274,33.66645241
52.56,-0.112716474,-1.88E-02,0.142451137,1.018343449,0.450450927,229.7638702,1,44.23972321,-22.90752792,-2.134832144,-7.70490694,21.37500381,13.73600101,85.68299866,63601.991,3.681999922,0.581603467,-117.7296274,33.66645242
52.57,-0.1128553,-1.88E-02,0.1425208,1.018826008,0.415846139,229.7702332,1,44.23972321,-22.90651512,-2.134832144,-7.70490694,21.37500381,13.79400063,85.68299866,63602.001,3.681999922,0.581603467,-117.7296274,33.66645243
52.58,-0.113140233,-1.88E-02,0.138413623,1.01934576,0.442938745,229.776535,1,44.23972321,-22.90550232,-2.044944286,-7.70490694,21.37500381,13.71500111,85.68299866,63602.011,3.681999922,0.581603467,-117.7296274,33.66645244
52.59,-0.113558963,-1.88E-02,0.142851382,1.019888282,0.472602099,229.7832336,1,44.23972321,-22.90449142,-2.134832144,-7.70490694,21.37500381,13.77700043,85.68299866,63602.021,3.681999922,0.581603467,-117.7296274,33.66645245
52.6,-0.114095353,-1.87E-02,0.140510961,1.020437717,0.435426623,229.7899017,1,44.23972321,-22.90347862,-2.134832144,-7.70490694,21.37500381,13.70900059,85.68299866,63602.031,3.681999922,0.581603467,-117.7296274,33.66645245
52.61,-0.114729851,-1.86E-02,0.138209701,1.020977378,0.429099798,229.7962341,1,44.23972321,-22.90246773,-2.134832144,-7.70490694,21.37500381,13.78000069,85.68299866,63602.041,3.681999922,0.581603467,-117.7296274,33.66645246
52.62,-0.115440071,-1.85E-02,0.140840948,1.021490335,0.448480248,229.8026733,1,44.23972321,-22.90145493,-2.134832144,-7.70490694,21.37500381,13.69800091,85.68299866,63602.051,3.681999922,0.581603467,-117.7296274,33.66645247
52.63,-0.11620146,-1.83E-02,0.141911134,1.021959543,0.421587646,229.8090515,1,44.23972321,-22.90044212,-2.202247143,-7.70490694,21.37500381,13.77400112,85.68299866,63602.061,3.681999922,0.581603467,-117.7296274,33.66645248
52.64,-0.116988018,-1.81E-02,0.142557427,1.022368789,0.435826629,229.8153534,1,44.23972321,-22.89943123,-2.202247143,-7.70490694,21.22500229,13.79800034,85.68299866,63602.071,3.681999922,0.581603467,-117.7296274,33.66645249
52.65,-0.117773093,-1.80E-02,0.145904988,1.022702813,0.471488357,229.8220062,1,44.23972321,-22.89841843,-2.134832144,-7.70490694,21.37500381,13.73200035,85.6740036,63602.081,3.681999922,0.581603467,-117.7296274,33.6664525
52.66,-0.118530206,-1.78E-02,0.146370992,1.022948027,0.435169756,229.8286591,1,44.23972321,-22.89841843,-2.134832144,-7.70490694,21.37500381,13.71200085,85.6740036,63602.091,3.681999922,0.492125988,-117.7296274,33.6664525
52.67,-0.119233891,-1.76E-02,0.14433749,1.023092747,0.416852534,229.8348846,1,44.23972321,-22.89841843,-2.134832144,-7.70490694,21.37500381,13.73900127,85.6740036,63602.101,3.681999922,0.492125988,-117.7296274,33.6664525
52.68,-0.1198605,-1.75E-02,0.147458881,1.023128152,0.447379053,229.8412476,1,44.23972321,-22.89841843,-2.134832144,-7.70490694,21.37500381,13.79800034,85.6740036,63602.111,3.681999922,0.492125988,-117.7296274,33.6664525
52.69,-0.120388933,-1.74E-02,0.147928253,1.023048043,0.431632578,229.8476715,1,44.23972321,-22.89841843,-2.134832144,-7.70490694,21.37500381,13.72900105,85.6740036,63602.121,3.681999922,0.492125988,-117.7296274,33.6664525
52.7,-0.120801389,-1.73E-02,0.147428006,1.022849441,0.43473807,229.8540192,1,44.23972321,-22.89841843,-2.134832144,-7.70490694,21.37500381,13.77000046,85.6740036,63602.131,3.681999922,0.492125988,-117.7296274,33.6664525
52.71,-0.1210839,-1.72E-02,0.156283543,1.022532821,0.476404428,229.8607178,1,44.23972321,-22.89841843,-2.044944286,-7.70490694,21.37500381,13.67400074,85.6740036,63602.141,3.681999922,0.492125988,-117.7296274,33.6664525
52.72,-0.121226855,-1.72E-02,0.157615185,1.022102356,0.44609049,229.8674774,1,44.23972321,-22.89841843,-2.134832144,-7.70490694,21.37500381,13.80400085,85.6740036,63602.151,3.681999922,0.492125988,-117.7296274,33.6664525
52.73,-0.121225312,-0.017213712,0.151484862,1.021565437,0.414919615,229.8737946,1,44.23972321,-22.89841843,-2.134832144,-7.70490694,21.48750305,13.73900127,85.6740036,63602.161,3.681999922,0.492125988,-117.7296274,33.6664525
52.74,-0.121079221,-1.73E-02,0.153943419,1.020933509,0.455729067,229.880188,1,44.23972321,-22.89841843,-2.134832144,-7.70490694,21.37500381,13.79100037,85.6740036,63602.171,3.681999922,0.492125988,-117.7296274,33.6664525
52.75,-0.120793454,-1.73E-02,0.153372854,1.020220876,0.45626384,229.8868713,1,44.23972321,-22.89841843,-2.044944286,-7.70490694,21.48750305,13.67800045,85.66400146,63602.181,3.683000088,0.492125988,-117.7296274,33.6664525
52.76,-0.120377705,-1.75E-02,0.152105629,1.019445062,0.443088084,229.8934479,1,44.23869324,-22.8996563,-2.044944286,-8.360635757,21.37500381,13.68100071,85.66400146,63602.191,3.683000088,0.447387278,-117.7296274,33.66645249
